Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY08 Enplanements,CY07 Enplanements,% Change
316.0,CE,IA,ALO,Waterloo,Waterloo Regional,P,N,26831.0,28880.0,-0.0709
317.0,GL,MI,PLN,Pellston,Pellston Regional Airport of Emmet County,P,N,26222.0,29609.0,-0.1144
318.0,GL,WI,RHI,Rhinelander,Rhinelander-Oneida County,P,N,26193.0,37608.0,-0.3035
319.0,NM,WY,COD,Cody,Yellowstone Regional,P,N,25863.0,26857.0,-0.037
320.0,NM,ID,PIH,Arbon Valley,Pocatello Regional,P,N,25756.0,29491.0,-0.1266
322.0,NM,WY,RKS,Rock Springs,Rock Springs-Sweetwater County,P,N,25541.0,22730.0,0.1237
323.0,WP,NV,EKO,Elko,Elko Regional,P,N,25523.0,28523.0,-0.1052
324.0,GL,MI,CMX,Hancock,Houghton County Memorial,P,N,25354.0,26767.0,-0.0528
325.0,SW,TX,GGG,Longview,East Texas Regional,P,N,24835.0,26333.0,-0.0569
326.0,WP,CA,CIC,Chico,Chico Municipal,P,N,24809.0,26146.0,-0.0511
327.0,WP,MP,TNI,Tinian (Municipality),Tinian International,P,N,24806.0,22121.0,0.1214
328.0,EA,PA,IPT,Williamsport,Williamsport Regional,P,N,23901.0,25464.0,-0.0614
329.0,GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,23225.0,26404.0,-0.1204
330.0,GL,MN,BJI,Bemidji,Bemidji Regional,P,N,22007.0,22302.0,-0.0132
331.0,SO,KY,PAH,Paducah,Barkley Regional,P,N,21654.0,24537.0,-0.1175
332.0,SO,PR,VQS,Isla De Vieques,Antonio Rivera Rodriguez,P,N,21517.0,15370.0,0.3999
334.0,GL,MN,STC,St. Cloud,St. Cloud Regional,P,N,20161.0,25772.0,-0.2177
336.0,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,19901.0,20543.0,-0.0313
337.0,SO,MS,MEI,Meridian,Key Field,P,N,19599.0,15425.0,0.2706
338.0,SO,FL,SGJ,Saint Augustine,St Augustine,P,N,19573.0,21331.0,-0.0824
339.0,EA,PA,LBE,Latrobe,Arnold Palmer Regional,P,N,18946.0,17593.0,0.0769
340.0,GL,WI,EAU,Eau Claire,Chippewa Valley Regional,P,N,18762.0,22705.0,-0.1737
342.0,AL,AK,ANI,Aniak,Aniak,P,N,18526.0,23803.0,-0.2217
343.0,GL,MI,CVX,Charlevoix,Charlevoix Municipal,P,N,17854.0,16544.0,0.0792
344.0,GL,OH,YNG,Youngstown,Youngstown-Warren Regional,P,N,17837.0,17572.0,0.0151
345.0,NM,WY,SHR,Sheridan,Sheridan County,P,N,17710.0,21323.0,-0.1694
346.0,SW,NM,FMN,Farmington,Four Corners Regional,P,N,17044.0,26769.0,-0.3633
347.0,NM,WY,RIW,Riverton,Riverton Regional,P,N,17035.0,15721.0,0.0836
348.0,NM,WY,CYS,Cheyenne,Cheyenne Regional/Jerry Olson Field,P,N,16697.0,18116.0,-0.0783
349.0,GL,MN,BRD,Brainerd,Brainerd Lakes Regional,P,N,16665.0,18600.0,-0.104
350.0,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,16640.0,16759.0,-0.0071
351.0,GL,MN,INL,International Falls,Falls International,P,N,16590.0,17923.0,-0.0744
353.0,CE,KS,MHK,Manhattan,Manhattan Regional,P,N,16489.0,14032.0,0.1751
354.0,SW,TX,DRT,Del Rio,Del Rio International,P,N,16028.0,17651.0,-0.0919
355.0,SO,MS,TUP,Tupelo,Tupelo Regional,P,N,15985.0,28798.0,-0.4449
356.0,GL,SD,PIR,Pierre,Pierre Regional,P,N,15983.0,16176.0,-0.0119
357.0,WP,CA,OXR,Oxnard,Oxnard,P,N,15961.0,21369.0,-0.2531
358.0,NE,MA,CEF,Springfield/Chicopee,Westover ARB/Metropolitan,P,N,15771.0,17839.0,-0.1159
359.0,AL,AK,MRI,Anchorage,Merrill Field,P,N,15206.0,9204.0,0.6521
360.0,NM,OR,SLE,Salem,McNary Field,P,N,15205.0,12979.0,0.1715
361.0,AL,AK,LHD,Anchorage,Lake Hood,P,N,15184.0,23647.0,-0.3579
362.0,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,14981.0,16225.0,-0.0767
365.0,NE,MA,EWB,New Bedford,New Bedford Regional,P,N,13908.0,14567.0,-0.0452
366.0,NE,ME,RKD,Rockland,Knox County Regional,P,N,13866.0,15064.0,-0.0795
367.0,SO,PR,SIG,San Juan,Fernando Luis Ribas Dominicci,P,N,13837.0,10548.0,0.3118
368.0,NM,WA,FHR,Friday Harbor,Friday Harbor,P,N,13835.0,12287.0,0.126
370.0,AL,AK,MBA,Manokotak,Manokotak,P,N,13393.0,10869.0,0.2322
371.0,NE,ME,PQI,Presque Isle,Northern Maine Regional Airport at Presque Isle,P,N,13385.0,15591.0,-0.1415
372.0,NM,CO,TEX,Telluride,Telluride Regional,P,N,13325.0,16464.0,-0.1907
373.0,GL,MI,CIU,Sault Ste. Marie,Chippewa County International,P,N,13269.0,13733.0,-0.0338
375.0,CE,MO,COU,Columbia,Columbia Regional,P,N,12719.0,11516.0,0.1045
376.0,NM,WA,CLM,Port Angeles,William R Fairchild International,P,N,12672.0,14838.0,-0.146
377.0,SO,MS,PIB,Moselle,Hattiesburg-Laurel Regional,P,N,12576.0,14673.0,-0.1429
379.0,WP,CA,CEC,Crescent City,Jack McNamara Field,P,N,12541.0,13694.0,-0.0842
380.0,AL,AK,UNK,Unalakleet,Unalakleet,P,N,12327.0,11249.0,0.0958
381.0,GL,ND,ISN,Williston,Sloulin Field International,P,N,12163.0,10396.0,0.17
382.0,CE,NE,EAR,Kearney,Kearney Regional,P,N,11956.0,12707.0,-0.0591
383.0,AL,AK,GST,Gustavus,Gustavus,P,N,11828.0,5197.0,1.2759
384.0,GL,OH,LCK,Columbus,Rickenbacker International,P,N,11706.0,3833.0,2.054
385.0,CE,IA,MCW,Mason City,Mason City Municipal,P,N,11678.0,11612.0,0.0057
386.0,NE,MA,PVC,Provincetown,Provincetown Municipal,P,N,11468.0,12459.0,-0.0795
387.0,CE,KS,GCK,Garden City,Garden City Regional,P,N,11453.0,13065.0,-0.1234
390.0,NE,RI,WST,Westerly,Westerly State,P,N,11201.0,9876.0,0.1342
391.0,WP,CA,IYK,Inyokern,Inyokern,P,N,11149.0,12292.0,-0.093
392.0,EA,PA,AOO,Altoona,Altoona-Blair County,P,N,11051.0,4246.0,1.6027
393.0,AL,AK,YAK,Yakutat,Yakutat,P,N,11028.0,11443.0,-0.0363
394.0,AL,AK,SGY,Skagway,Skagway,P,N,10727.0,13156.0,-0.1846
396.0,EA,WV,MGW,Morgantown,Morgantown Municipal-Walter L. Bill Hart Field,P,N,10630.0,4740.0,1.2426
397.0,CE,NE,BFF,Scottsbluff,Western Nebraska Regional/William B. Heilig Field,P,N,10608.0,11973.0,-0.114
398.0,AL,AK,WRG,Wrangell,Wrangell,P,N,10601.0,11588.0,-0.0852
399.0,NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,P,N,10562.0,10953.0,-0.0357
401.0,WP,CA,PMD,Palmdale,Palmdale Regional/USAF Plant 42,P,N,10392.0,5712.0,0.8193
402.0,NE,RI,BID,Block Island,Block Island State,P,N,10384.0,9383.0,0.1067
403.0,NM,WY,LAR,Laramie,Laramie Regional,P,N,10371.0,10771.0,-0.0371
