ST,RO,Locid,Airport Name,City,Svc Lvl,Hub,CY 2003 Enplanements
PA,EA,NXX,Willow Grove NAS Jrb,Willow Grove,GA,None,73.0
PA,EA,2PS6,Brandywine Hospital,Coatsville,GA,None,70.0
PA,EA,MPO,Pocono Mountains Municipal,Mount Pocono,GA,None,26.0
PA,EA,LOM,Wings Field,Ambler,GA,None,24.0
PA,EA,DYL,Doylestown,Doylestown,GA,None,17.0
PA,EA,CXY,Capital City,New Cumberland,GA,None,14.0
PA,EA,40N,Chester County G O Carlson,Coatesville,GA,None,12.0
PA,EA,IDI,Indiana County/Jimmy Stewart Field/,Indiana,GA,None,12.0
PA,EA,P96,Jersey Shore,Jersey Shore,GA,None,11.0
PA,EA,HZL,Hazleton Municipal,Hazleton,GA,None,9.0
PA,EA,HMZ,Bedford County,Bedford,GA,None,8.0
PA,EA,GKJ,Port Meadville,Meadville,GA,None,8.0
PA,EA,PTW,Pottstown Limerick,Pottstown,GA,None,8.0
PA,EA,RVL,Mifflin County,Reedsville,GA,None,6.0
PA,EA,VVS,Connellsville,Connellsville,GA,None,4.0
PA,EA,LHV,William T. Piper Memorial,Lock Haven,GA,None,4.0
PA,EA,THV,York,York,GA,None,4.0
PA,EA,29D,Grove City,Grove City,GA,None,3.0
PA,EA,N70,Pennridge,Perkasie,GA,None,3.0
PA,EA,N13,Bloomsburg Municipal,Bloomsburg,GA,None,2.0
PA,EA,FIG,Clearfield-Lawrence,Clearfield,GA,None,2.0
PA,EA,ZER,Schuylkill County /Joe Zerbey/,Pottsville,GA,None,2.0
PA,EA,N57,New Garden,Toughkenamon,GA,None,2.0
PA,EA,BTP,Butler County/K W Scholter Field,Butler,GA,None,1.0
PA,EA,N94,Carlisle,Carlisle,GA,None,1.0
PA,EA,SEG,Penn Valley,Selinsgrove,GA,None,1.0
PA,EA,N99,Brandywine,West Chester,GA,None,1.0
PA Total,,,,,,,20666615.0
PR,SO,SJU,Luis Munoz Marin Int'l,San Juan,P,M,4706846.0
PR,SO,BQN,Rafael Hernandez,Aguadilla,P,N,62585.0
