Rank,RO,Locid,Airport Name,City,State,Svc Lvl,Hub,CY 2002 Boardings ,CY 2001 Boardings,% Change,CY
186.0,GL,BIS,Bismarck Municipal,Bismarck,ND,P,N,144821.0,131557.0,0.1008,2002.0
187.0,GL,RST,Rochester International,Rochester,MN,P,N,144180.0,143446.0,0.0051,2002.0
188.0,WP,VGT,North Las Vegas,Las Vegas,NV,P,N,143410.0,170288.0,-0.1578,2002.0
189.0,WP,SBP,San Luis County Regional,San Luis Obispo,CA,P,N,142959.0,138884.0,0.0293,2002.0
190.0,GL,CWA,Central Wisconsin,Mosinee,WI,P,N,141892.0,130444.0,0.0878,2002.0
191.0,GL,DLH,Duluth International,Duluth,MN,P,N,141611.0,132682.0,0.0673,2002.0
192.0,NM,GTF,Great Falls International,Great Falls,MT,P,N,138453.0,132421.0,0.0456,2002.0
193.0,NM,RDM,Roberts Field,Redmond,OR,P,N,135847.0,144424.0,-0.0594,2002.0
194.0,AL,BET,Bethel,Bethel,AK,P,N,132057.0,132665.0,-0.0046,2002.0
195.0,SO,GNV,Gainesville Regional,Gainesville,FL,P,N,130683.0,119995.0,0.0891,2002.0
196.0,EA,ERI,Erie International / Tom Ridge Field,Erie,PA,P,N,130244.0,127900.0,0.0183,2002.0
197.0,SO,FAY,Fayetteville Regional / Grannis Field,Fayetteville,NC,P,N,129705.0,131286.0,-0.012,2002.0
198.0,NM,GJT,Walker Field,Grand Junction,CO,P,N,124968.0,116472.0,0.0729,2002.0
199.0,EA,UNV,University Park,State College,PA,P,N,120938.0,116113.0,0.0416,2002.0
200.0,GL,CMI,University of Illinois - Willard,Champaign / Urbana,IL,P,N,117503.0,113860.0,0.032,2002.0
201.0,NM,IDA,Idaho Falls Regional,Idaho Falls,ID,P,N,113831.0,118090.0,-0.0361,2002.0
202.0,EA,BGM,"Greater Binghamton / 
Edwin A Link Field",Binghamton,NY,P,N,112276.0,114907.0,-0.0229,2002.0
203.0,GL,LSE,La Crosse Municipal,La Crosse,WI,P,N,111011.0,108455.0,0.0236,2002.0
204.0,GL,SPI,Capital,Springfield,IL,P,N,108921.0,73152.0,0.489,2002.0
205.0,WP,EKO,Elko Regional,Elko,NV,P,N,108909.0,81482.0,0.3366,2002.0
206.0,NM,HDN,Yampa Valley,Hayden,CO,P,N,106977.0,100725.0,0.0621,2002.0
207.0,NM,DRO,Durango - La Plata County,Durango,CO,P,N,102175.0,91405.0,0.1178,2002.0
208.0,SW,ILE,Killeen Municipal,Killeen,TX,P,N,102163.0,96632.0,0.0572,2002.0
209.0,SW,AEX,Alexandria International,Alexandria,LA,P,N,99827.0,122638.0,-0.186,2002.0
210.0,AL,KTN,Ketchikan International,Ketchikan,AK,P,N,99628.0,102634.0,-0.0293,2002.0
211.0,WP,BFL,Meadows Field,Bakersfield,CA,P,N,93630.0,127006.0,-0.2628,2002.0
212.0,SW,MLU,Monroe Regional,Monroe,LA,P,N,93585.0,96503.0,-0.0302,2002.0
213.0,WP,MKK,Molokai,Kaunakakai,HI,P,N,93307.0,101884.0,-0.0842,2002.0
214.0,WP,IFP,Laughlin / Bullhead International,Bullhead City,AZ,P,N,92095.0,75019.0,0.2276,2002.0
215.0,AL,ENA,Kenai Municipal,Kenai,AK,P,N,91588.0,106673.0,-0.1414,2002.0
216.0,WP,ACV,Arcata,Arcata / Eureka,CA,P,N,89224.0,97840.0,-0.0881,2002.0
217.0,EA,ELM,Elmira / Corning Regional,Elmira / Corning,NY,P,N,87723.0,104717.0,-0.1623,2002.0
218.0,GL,GFK,Grand Forks International,Grand Forks,ND,P,N,87569.0,71600.0,0.223,2002.0
219.0,SW,FSM,Fort Smith Regional,Fort Smith,AR,P,N,85137.0,90311.0,-0.0573,2002.0
220.0,EA,ITH,Ithaca Tompkins Regional,Ithaca,NY,P,N,80467.0,88299.0,-0.0887,2002.0
221.0,SW,LRD,Laredo International,Laredo,TX,P,N,77892.0,75610.0,0.0302,2002.0
222.0,SO,HXD,Hilton Head,Hilton Head Island,SC,P,N,75836.0,80418.0,-0.057,2002.0
223.0,NM,HLN,Helena Regional,Helena,MT,P,N,75526.0,77960.0,-0.0312,2002.0
224.0,SW,CLL,Easterwood Field,College Station,TX,P,N,75294.0,83214.0,-0.0952,2002.0
225.0,SO,EWN,Craven County Regional,New Bern,NC,P,N,74884.0,77726.0,-0.0366,2002.0
226.0,GL,MOT,Minot International,Minot,ND,P,N,72354.0,70303.0,0.0292,2002.0
227.0,SO,CSG,Columbus Metropolitan,Columbus,GA,P,N,71147.0,77304.0,-0.0796,2002.0
228.0,NM,MTJ,Montrose Regional,Montrose,CO,P,N,70816.0,68754.0,0.03,2002.0
229.0,NM,BLI,Bellingham International,Bellingham,WA,P,N,70517.0,93643.0,-0.247,2002.0
230.0,AL,SIT,Sitka Rocky Gutierrez,Sitka,AK,P,N,70095.0,72912.0,-0.0386,2002.0
231.0,SW,BRO,"Brownsville / 
South Padre Island International",Brownsville,TX,P,N,67885.0,71647.0,-0.0525,2002.0
232.0,NM,SUN,Friedman Memorial,Hailey,ID,P,N,66780.0,60589.0,0.1022,2002.0
233.0,WP,LNY,Lanai,Lanai City,HI,P,N,64583.0,67800.0,-0.0474,2002.0
234.0,WP,PPG,Pago Pago International,Pago Pago,AS,P,N,63329.0,83942.0,-0.2456,2002.0
235.0,AL,ADQ,Kodiak,Kodiak,AK,P,N,62862.0,62768.0,0.0015,2002.0
236.0,NM,YKM,"Yakima Air Terminal / 
McAllister Field",Yakima,WA,P,N,60500.0,73443.0,-0.1762,2002.0
237.0,NM,LWS,Lewiston - Nez Perce County,Lewiston,ID,P,N,60245.0,62394.0,-0.0344,2002.0
238.0,NE,MVY,Marthas Vineyard,Vineyard Haven,MA,P,N,59500.0,65374.0,-0.0899,2002.0
239.0,SO,DHN,Dothan Regional,Dothan,AL,P,N,57911.0,55064.0,0.0517,2002.0
240.0,SW,BPT,Southeast Texas Regional,"Beaumont / 
Port Arthur",TX,P,N,57556.0,73881.0,-0.221,2002.0
241.0,CE,SUX,"Sioux Gateway / 
Col. Bud Day Field",Sioux City,IA,P,N,55712.0,89709.0,-0.379,2002.0
243.0,SW,TYR,Tyler Pounds Regional,Tyler,TX,P,N,55657.0,61156.0,-0.0899,2002.0
244.0,EA,SBY,Salisbury - Ocean City Wicomico Regional,Salisbury,MD,P,N,55128.0,61310.0,-0.1008,2002.0
245.0,GL,SAW,Sawyer International,Gwinn,MI,P,N,54882.0,55949.0,-0.0191,2002.0
