Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
534,SO,AL,TCL,Tuscaloosa,Tuscaloosa Regional,CS,None,3058,2388,0.2806
535,NM,WA,PAE,Everett,Snohomish County (Paine Field),CS,None,3037,623,3.8748
536,AL,AK,0AK,Pilot Station,Pilot Station,CS,None,3016,3353,-0.1005
539,CE,KS,FOE,Topeka,Topeka Regional,CS,None,2965,4901,-0.395
540,CE,NE,AIA,Alliance,Alliance Municipal,CS,None,2921,2460,0.1874
542,AL,AK,ADK,Adak (Naval) Station/Mitchell Field,Adak,CS,None,2901,2455,0.1817
544,AL,AK,AUK,Alakanuk,Alakanuk,CS,None,2837,2733,0.0381
545,AL,AK,TLT,Tuluksak,Tuluksak,CS,None,2776,2237,0.2409
546,SW,TX,VCT,Victoria,Victoria Regional,CS,None,2761,2418,0.1419
547,NM,MT,GDV,Glendive,Dawson Community,CS,None,2739,2229,0.2288
548,SW,TX,DRT,Del Rio,Del Rio International,CS,None,2712,807,2.3606
550,AL,AK,ELI,Elim,Elim,CS,None,2694,2313,0.1647
551,WP,HI,HNM,Hana,Hana,CS,None,2676,2967,-0.0981
552,AL,AK,2C7,Shaktoolik,Shaktoolik,CS,None,2659,2779,-0.0432
553,AL,AK,MDM,Marshall,Marshall Don Hunter Sr,CS,None,2643,2505,0.0551
554,GL,OH,YNG,Youngstown,Youngstown-Warren Regional,CS,None,2636,36455,-0.9277
555,AL,AK,KTS,Brevig Mission,Brevig Mission,CS,None,2626,2413,0.0883
556,AL,AK,SNP,Saint Paul Island,St Paul Island,CS,None,2596,2595,0.0004
557,AL,AK,NUL,Nulato,Nulato,CS,None,2585,2440,0.0594
558,AL,AK,4A2,Atmautluak,Atmautluak,CS,None,2551,2019,0.2635
559,NM,CO,FNL,Loveland,Northern Colorado Regional,CS,None,2538,3198,-0.2064
561,AL,AK,AKI,Akiak,Akiak,CS,None,2525,1966,0.2843
562,AL,AK,RSH,Russian Mission,Russian Mission,CS,None,2506,2132,0.1754
563,AL,AK,AFM,Ambler,Ambler,CS,None,2501,2175,0.1499
,,,123,,"Nonhub Primary, Commercial Service",,,,,
,,,518,,Total Commercial Service ,,,,,
