Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 09 Boardings,CY 08 Boardings,% Change
1646.0,CE,NE,FET,Fremont,Fremont Municipal,GA,--,2.0,7.0,-0.7143
1650.0,CE,NE,GRN,Gordon,Gordon Municipal,GA,--,2.0,0.0,0.0
1715.0,CE,NE,7V7,Red Cloud,Red Cloud Municipal,GA,--,1.0,0.0,0.0
1722.0,CE,NE,ANW,Ainsworth,Ainsworth Regional,GA,--,1.0,24.0,-0.9583
70.0,NE,NH,MHT,Manchester,Manchester,P,S,1578349.0,1834875.0,-0.1398
346.0,NE,NH,PSM,Portsmouth,Portsmouth International at Pease,GA,--,17079.0,49962.0,-0.6582
438.0,NE,NH,LEB,Lebanon,Lebanon Municipal,CS,--,6089.0,8294.0,-0.2659
765.0,NE,NH,LCI,Laconia,Laconia Municipal,GA,--,331.0,212.0,0.5613
839.0,NE,NH,CON,Concord,Concord Municipal,GA,--,150.0,435.0,-0.6552
1011.0,NE,NH,EEN,Keene,Dillant-Hopkins,GA,--,35.0,45.0,-0.2222
1060.0,NE,NH,ASH,Nashua,Boire Field,GA,--,25.0,48.0,-0.4792
1295.0,NE,NH,8B1,Hillsboro,Hawthorne-Feather Airpark,GA,--,8.0,6.0,0.3333
12.0,EA,NJ,EWR,Newark,Newark Liberty International,P,L,16659441.0,17599578.0,-0.0534
113.0,EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,525121.0,527873.0,-0.0052
321.0,EA,NJ,WRI,Wrightstown,McGuire,GA,--,24422.0,20585.0,0.1864
427.0,EA,NJ,TEB,Teterboro,Teterboro,GA,--,6447.0,12573.0,-0.4872
659.0,EA,NJ,MMU,Morristown,Morristown Municipal,GA,--,1045.0,1276.0,-0.181
719.0,EA,NJ,TTN,Trenton,Trenton Mercer,GA,--,561.0,974.0,-0.424
729.0,EA,NJ,BLM,Belmar,Monmouth Executive,GA,--,514.0,765.0,-0.3281
921.0,EA,NJ,CDW,Caldwell,Essex County,GA,--,70.0,40.0,0.75
1393.0,EA,NJ,MJX,Toms River,Robert J. Miller Air Park,GA,--,6.0,21.0,-0.7143
1399.0,EA,NJ,SMQ,Bedminster,Somerset,GA,--,6.0,3.0,1.0
1404.0,EA,NJ,WWD,Wildwood,Cape May County,GA,--,6.0,4.0,0.5
1430.0,EA,NJ,MIV,Millville,Millville Municipal,GA,--,5.0,30.0,-0.8333
54.0,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2881798.0,3158971.0,-0.0877
285.0,SW,NM,ROW,Roswell,Roswell International Air Center,P,N,38391.0,34712.0,0.106
385.0,SW,NM,FMN,Farmington,Four Corners Regional,P,N,10854.0,17044.0,-0.3632
396.0,SW,NM,SAF,Santa Fe,Santa Fe Municipal,CS,--,9767.0,355.0,26.5127
494.0,SW,NM,CNM,Carlsbad,Cavern City Air Terminal,CS,--,3417.0,2207.0,0.5483
571.0,SW,NM,CVN,Clovis,Clovis Municipal,GA,--,2028.0,2419.0,-0.1616
585.0,SW,NM,SVC,Silver City,Grant County,GA,--,1860.0,2607.0,-0.2865
666.0,SW,NM,HOB,Hobbs,Lea County Regional,GA,--,944.0,1755.0,-0.4621
725.0,SW,NM,LRU,Las Cruces,Las Cruces International,GA,--,528.0,1453.0,-0.6366
731.0,SW,NM,ALM,Alamogordo,Alamogordo-White Sands Regional,GA,--,505.0,414.0,0.2198
754.0,SW,NM,HMN,Alamogordo,Holloman AFB,GA,--,378.0,165.0,1.2909
803.0,SW,NM,94E,Silver City,Whiskey Creek,GA,--,213.0,370.0,-0.4243
870.0,SW,NM,CVS,Clovis,Cannon AFB,GA,--,112.0,0.0,0.0
945.0,SW,NM,DMN,Deming,Deming Municipal,GA,--,60.0,81.0,-0.2593
1068.0,SW,NM,E06,Lovington,Lea County-Zip Franklin Memorial,GA,--,24.0,73.0,-0.6712
1256.0,SW,NM,SRR,Ruidoso,Sierra Blanca Regional,GA,--,10.0,278.0,-0.964
1304.0,SW,NM,LVS,Las Vegas,Las Vegas Municipal,GA,--,8.0,32.0,-0.75
1319.0,SW,NM,SKX,Taos,Taos Regional,GA,--,8.0,7.0,0.1429
