site_number,state,runway_id,runway_length,runway_width,runway_surface_type_condition,runway_surface_treatment,pavement_class,edge_lights_intensity,base_end_id,base_end_true_alignment,base_end_ils_type,base_end_right_traffic_pattern,base_end_markings_type,base_end_markings_condition,base_end_physical_latitude,base_end_physical_latitude_s,base_end_physical_longitude,base_end_physical_longitude_s,base_end_physical_elevation,base_end_crossing_height,base_end_glide_path_angle,base_end_displaced_latitude,base_end_displaced_latitude_s,base_end_displaced_longitude,base_end_displaced_longitude_s,base_end_displaced_elevation,base_end_displaced_length,base_end_tdz_elevation,base_end_vasi,base_end_rvr,base_end_rvv,base_end_als,base_end_reil,base_end_centerline_lights,base_end_touchdown_lights,base_end_object_description,base_end_object_mark_light,base_end_part77_category,base_end_object_clear_slope,base_end_object_height,base_end_object_distance,base_end_object_offset,reciprocal_end_id,reciprocal_end_true_alignment,reciprocal_end_ils_type,reciprocal_end_right_traffic_pattern,reciprocal_end_markings_type,reciprocal_end_markings_condition,reciprocal_end_physical_latitude,reciprocal_end_physical_latitude_s,reciprocal_end_physical_longitude,reciprocal_end_physical_longitude_s,reciprocal_end_physical_elevation,reciprocal_end_crossing_height,reciprocal_end_glide_path_angle,reciprocal_end_displaced_latitude,reciprocal_end_displaced_latitude_s,reciprocal_end_displaced_longitude,reciprocal_end_displaced_longitude_s,reciprocal_end_displaced_elevation,reciprocal_end_displaced_length,reciprocal_end_tdz_elevation,reciprocal_end_vasi,reciprocal_end_rvr,reciprocal_end_rvv,reciprocal_end_als,reciprocal_end_reil,reciprocal_end_centerline_lights,reciprocal_end_touchdown_lights,reciprocal_end_object_description,reciprocal_end_object_mark_light,reciprocal_end_part77_category,reciprocal_end_object_clear_slope,reciprocal_end_object_height,reciprocal_end_object_distance,reciprocal_end_object_offset,runway_length_source,runway_length_source_date,runway_weight_bearing_capacity_sw,runway_weight_bearing_capacity_dw,runway_weight_bearing_capacity_dt,runway_weight_bearing_capacity_ddt,base_end_gradient,base_end_gradient_direction,base_end_position_source,base_end_position_source_date,base_end_elevation_source,base_end_elevation_source_date,base_end_displaced_threshold_position_source,base_end_displaced_threshold_position_source_date,base_end_displaced_threshold_elevation_source,base_end_displaced_threshold_elevation_source_date,base_end_touchdown_zone_elevation_source,base_end_touchdown_zone_elevation_source_date,base_end_take_off_run_available_tora,base_end_take_off_distance_available_toda,base_end_aclt_stop_distance_available_asda,base_end_landing_distance_available_lda,base_end_landing_distance_available_lahso,base_end_landing_distance_available_lahso_int_rwy_id,base_end_landing_distance_available_lahso_int_entity_desc,base_end_landing_distance_available_lahso_hld_pt_latitude,base_end_landing_distance_available_lahso_hld_pt_latitude_s,base_end_landing_distance_available_lahso_hld_pt_longitude,base_end_landing_distance_available_lahso_hld_pt_longitude_s,base_end_landing_distance_available_lahso_coord_src,base_end_landing_distance_available_lahso_coord_src_date,reciprocal_end_gradient,reciprocal_end_gradient_direction,reciprocal_end_position_source,reciprocal_end_position_source_date,reciprocal_end_elevation_source,reciprocal_end_elevation_source_date,reciprocal_end_displaced_threshold_position_source,reciprocal_end_displaced_threshold_position_source_date,reciprocal_end_displaced_threshold_elevation_source,reciprocal_end_displaced_threshold_elevation_source_date,reciprocal_end_touchdown_zone_elevation_source,reciprocal_end_touchdown_zone_elevation_source_date,reciprocal_end_take_off_run_available_tora,reciprocal_end_take_off_distance_available_toda,reciprocal_end_aclt_stop_distance_available_asda,reciprocal_end_landing_distance_available_lda,reciprocal_end_landing_distance_available_lahso,reciprocal_end_landing_distance_available_lahso_int_rwy_id,reciprocal_end_landing_distance_available_lahso_int_entity_desc,reciprocal_end_landing_distance_available_lahso_hld_pt_latitude,reciprocal_end_landing_distance_available_lahso_hld_pt_latitude_s,reciprocal_end_landing_distance_available_lahso_hld_pt_longitude,reciprocal_end_landing_distance_available_lahso_hld_pt_longitude_s,reciprocal_end_landing_distance_available_lahso_coord_src,reciprocal_end_landing_distance_available_lahso_coord_src_date
00245.*A,AL,13/31,4994,100,CONC-F,,,HIGH,13,130,,,NPI,P,34-39-41.4027N,124781.4027N,087-21-13.4070W,314473.4070W,581.5,,,,,,,,,582.4,,,,,Y,,,,,C,50,,,,31,310,,,NPI,P,34-39-09.6699N,124749.6699N,087-20-27.5963W,314427.5963W,571.7,,,,,,,,,578.7,,,,,Y,,,,,C,50,,,,3RD PARTY SURVEY,2009-12-01 00:00:00,,,,,,,3RD PARTY SURVEY,2009-12-01 00:00:00,3RD PARTY SURVEY,2009-12-01 00:00:00,,,,,3RD PARTY SURVEY,2009-12-01 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2009-12-01 00:00:00,3RD PARTY SURVEY,2009-12-01 00:00:00,,,,,3RD PARTY SURVEY,2009-12-01 00:00:00,,,,,,,,,,,,,
00245.*A,AL,18/36,3484,150,CONC-P,,,,18,175,,,BSC,G,34-39-52.0300N,124792.0300N,087-21-02.8100W,314462.8100W,583.9,,,,,,,,,587.8,,,,,,,,TREE,,A(V),10,54,747,298L,36,355,,,BSC,G,34-39-17.7000N,124757.7000N,087-20-59.1600W,314459.1600W,580.2,,,,,,,,,586.8,,,,,,,,,,A(V),50,,,,3RD PARTY SURVEY,2009-12-01 00:00:00,,,,,,,3RD PARTY SURVEY,2009-12-01 00:00:00,3RD PARTY SURVEY,2009-12-01 00:00:00,,,,,3RD PARTY SURVEY,2009-12-01 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2009-12-01 00:00:00,3RD PARTY SURVEY,2009-12-01 00:00:00,,,,,3RD PARTY SURVEY,2009-12-01 00:00:00,,,,,,,,,,,,,
00246.*A,AL,03/21,2000,180,TURF-G,,,NSTD,03,38,,,NSTD,F,30-54-25.0663N,111265.0663N,087-59-53.8645W,316793.8645W,4,,,,,,,,,,,,,,,,,TREE,,A(V),11,23,254,90L,21,218,,,NSTD,F,30-54-40.6685N,111280.6685N,087-59-39.7272W,316779.7272W,8,,,,,,,,,,,,,,,,,TREES,,A(V),14,73,1065,24R,,,,,,,,,FAA-EST IMAGERY,2010-07-20 00:00:00,FAA-EST IMAGERY,2010-07-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,2010-07-20 00:00:00,FAA-EST IMAGERY,2010-07-20 00:00:00,,,,,,,,,,,,,,,,,,,
00248.3*A,AL,02/20,5500,100,ASPH-F,,,MED,02,17,,N,NPI,F,34-15-41.2496N,123341.2496N,086-51-38.2478W,312698.2478W,934.2,67,3.77,,,,,,,956.7,P2L,,,,Y,,,TREES,,B(V),47,32,1710,4L,20,197,,N,NPI,F,34-16-33.3990N,123393.3990N,086-51-19.6208W,312679.6208W,969.2,33,3,,,,,,,969.2,P2L,,,,Y,,,TREE,,C,40,36,1644,77L,,,30,,,,,,3RD PARTY SURVEY,2007-06-22 00:00:00,3RD PARTY SURVEY,2007-06-22 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2007-06-22 00:00:00,3RD PARTY SURVEY,2007-06-22 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,
00250.1*A,AL,12/30,3000,80,ASPH-G,,,MED,12,,,N,BSC,G,30-15-45.9300N,108945.9300N,088-07-53.1900W,317273.1900W,4.7,,,30-15-44.8312N,108944.8312N,088-07-51.2657W,317271.2657W,4.7,202,5.3,PSIL,,,,,,,,,A(V),50,,,,30,,,N,BSC,G,30-15-29.6100N,108929.6100N,088-07-24.6100W,317244.6100W,5.3,,,30-15-30.3716N,108930.3716N,088-07-25.9436W,317245.9436W,5.3,140,5.3,PSIR,,,,,,,TREES,,A(V),20,45,1119,19L,,,30,,,,,,NACO,2003-12-17 00:00:00,NACO,2003-12-17 00:00:00,FAA-EST,2005-03-22 00:00:00,NACO,,NACO,2003-12-17 00:00:00,,,,,,,,,,,,,,,,NACO,2003-12-17 00:00:00,NACO,2003-12-17 00:00:00,FAA-EST,2005-03-22 00:00:00,NACO,,NACO,2003-12-17 00:00:00,,,,,,,,,,,,,
00251.*A,AL,18/36,6107,100,ASPH-F,GRVD,,HIGH,18,181,ILS/DME,N,PIR,F,34-39-44.7800N,124784.7800N,086-56-42.5900W,313002.5900W,588,,,,,,,,,592,,,,,Y,,,,,C,50,,,,36,1,,N,PIR,F,34-38-44.3900N,124724.3900N,086-56-44.0200W,313004.0200W,583.3,,,,,,,,,588,P2L,,,,Y,,,,,C,50,,,,STATE,2006-01-12 00:00:00,75,125,150,,,,STATE,2006-01-12 00:00:00,STATE,2006-01-12 00:00:00,,,,,3RD PARTY SURVEY,2005-08-23 00:00:00,,,,,,,,,,,,,,,,STATE,2006-01-12 00:00:00,3RD PARTY SURVEY,2006-01-12 00:00:00,,,,,3RD PARTY SURVEY,2005-08-23 00:00:00,,,,,,,,,,,,,
00254.*A,AL,04/22,5002,100,ASPH-G,,,MED,04,43,,N,NPI,P,32-27-31.5994N,116851.5994N,087-57-34.4163W,316654.4163W,111.7,43,3.25,,,,,,,111.7,P2R,,,,,,,,,C,50,,,,22,223,,N,NPI,P,32-28-07.9321N,116887.9321N,087-56-54.7676W,316614.7676W,105.3,43,3.25,,,,,,,107.4,P2L,,,,,,,TREES,,C,20,86,1953,9L,3RD PARTY SURVEY,2010-01-10 00:00:00,30,38,60,,,,NACO,2003-03-20 00:00:00,3RD PARTY SURVEY,2010-01-10 00:00:00,,,,,3RD PARTY SURVEY,2010-01-10 00:00:00,,,,,,,,,,,,,,,,NACO,2003-03-20 00:00:00,3RD PARTY SURVEY,2010-01-10 00:00:00,,,,,3RD PARTY SURVEY,2010-01-10 00:00:00,,,,,,,,,,,,,
00267.*A,AL,14/32,8499,150,ASPH-E,GRVD,34 /F/B/X/T,HIGH,14,135,ILS/DME,N,PIR,G,31-19-50.1212N,112790.1212N,085-27-41.9248W,307661.9248W,400.6,40,3,,,,,,,400.8,P2L,R,,,Y,,,,,PIR,50,,,,32,315,ILS,N,PIR,G,31-18-50.6966N,112730.6966N,085-26-32.5791W,307592.5791W,381.6,,,,,,,,,381.7,,T,N,MALSR,,,,,,PIR,50,,,,3RD PARTY SURVEY,2012-06-30 00:00:00,75,105,190,,,,3RD PARTY SURVEY,2012-06-30 00:00:00,3RD PARTY SURVEY,2012-06-30 00:00:00,,,,,3RD PARTY SURVEY,2012-06-30 00:00:00,8496,8496,8496,8496,,,,,,,,,,,,3RD PARTY SURVEY,2012-06-30 00:00:00,3RD PARTY SURVEY,2012-06-30 00:00:00,,,,,3RD PARTY SURVEY,2012-06-30 00:00:00,8496,8496,8496,8496,,,,,,,,,
00267.*A,AL,18/36,5498,100,ASPH-G,,30 /F/B/X/T,HIGH,18,180,,N,NPI,G,31-19-35.5493N,112775.5493N,085-26-44.0162W,307604.0162W,394.7,40,3,31-19-30.6075N,112770.6075N,085-26-44.0161W,307604.0161W,393.1,499,393.1,P4L,,,,Y,,,TREES,,C,25,48,1400,100L,36,360,,N,NPI,G,31-18-41.1362N,112721.1362N,085-26-44.0072W,307604.0072W,378.4,,,,,,,,,378.7,,,,,,,,TREES,,C,23,80,2050,450L,3RD PARTY SURVEY,2012-06-30 00:00:00,75,105,190,,,,3RD PARTY SURVEY,2012-06-30 00:00:00,3RD PARTY SURVEY,2012-06-30 00:00:00,3RD PARTY SURVEY,2012-06-30 00:00:00,3RD PARTY SURVEY,2012-06-30 00:00:00,3RD PARTY SURVEY,2012-06-30 00:00:00,5500,5500,5500,5000,,,,,,,,,,,,3RD PARTY SURVEY,2012-06-30 00:00:00,3RD PARTY SURVEY,2012-06-30 00:00:00,,,,,AVN,2012-06-30 00:00:00,5000,5000,5000,5000,,,,,,,,,
00267.2*A,AL,03/21,3331,78,ASPH-P,,,MED,03,29,,,BSC,P,34-08-24.7810N,122904.7810N,087-19-49.7320W,314389.7320W,753.6,,,34-08-26.6570N,122906.6570N,087-19-48.4970W,314388.4970W,753.1,216,,,,,,,,,TREES,,A(V),18,42,992,179R,21,209,,,BSC,P,34-08-53.6100N,122933.6100N,087-19-30.5290W,314370.5290W,745.9,,,,,,,,,,,,,,,,,,,A(V),50,,,,ADO,2019-03-05 00:00:00,15,,,,,,ADO,2019-03-05 00:00:00,ADO,2019-03-05 00:00:00,ADO,2019-03-05 00:00:00,ADO,2019-03-05 00:00:00,,,,,,,,,,,,,,,,,,ADO,2019-03-05 00:00:00,ADO,2019-03-05 00:00:00,,,,,,,,,,,,,,,,,,,
00267.6*A,AL,01/19,3050,75,ASPH-F,,,MED,01,,,N,BSC,G,31-24-21.5700N,113061.5700N,086-05-29.9500W,309929.9500W,253.5,,,,,,,,,258,,,,,,,,TREE,,A(V),25,53,1532,62L,19,,,N,BSC,G,31-24-50.6700N,113090.6700N,086-05-20.6100W,309920.6100W,251.4,,,,,,,,,258,,,,,,,,POLE,,A(V),21,49,1255,2L,OWNER,2009-08-24 00:00:00,4,,,,,,OWNER,2009-08-24 00:00:00,OWNER,2009-08-24 00:00:00,,,,,ADO,2005-06-29 00:00:00,,,,,,,,,,,,,,,,OWNER,2009-08-24 00:00:00,OWNER,2009-08-24 00:00:00,,,,,ADO,2005-06-29 00:00:00,,,,,,,,,,,,,
00287.1*A,AL,05/23,5080,100,ASPH-G,,,MED,05,52,,N,NPI,F,31-17-43.4677N,112663.4677N,085-54-22.4752W,309262.4752W,342.4,50,3,,,,,,,360.4,P2L,,,,Y,,,TREES,,C,16,12,392,104L,23,232,,N,NPI,F,31-18-14.4952N,112694.4952N,085-53-36.4100W,309216.4100W,353.2,58,3.5,,,,,,,360.9,P2L,,,,Y,,,POLE,,B(V),22,29,837,101R,3RD PARTY SURVEY,2007-07-25 00:00:00,,,,,,,3RD PARTY SURVEY,,3RD PARTY SURVEY,2007-07-25 00:00:00,,,,,3RD PARTY SURVEY,2007-07-25 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,,3RD PARTY SURVEY,2007-07-25 00:00:00,,,,,3RD PARTY SURVEY,2007-07-25 00:00:00,,,,,,,,,,,,,
00290.*A,AL,18/36,5000,100,ASPH-G,,11 /F/A/X/T,MED,18,184,,N,NPI,G,31-57-29.4378N,115049.4378N,085-07-42.3099W,306462.3099W,283,26,3,,,,,,,285.2,P4L,,,,,,,TREES,,C,5,18,290,130R,36,4,,N,NPI,G,31-56-40.0553N,115000.0553N,085-07-45.9743W,306465.9743W,277.4,25,3,,,,,,,284.7,P4L,,,,,,,TREES,,C,19,32,820,169L,,,16,,,,,,3RD PARTY SURVEY,2008-10-26 00:00:00,3RD PARTY SURVEY,2008-10-26 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2008-10-26 00:00:00,3RD PARTY SURVEY,2008-10-26 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,
00293.*A,AL,16/34,3600,80,ASPH-P,,,MED,16,161,,N,NPI,P,32-49-30.3357N,118170.3357N,087-52-01.1546W,316321.1546W,170,,,,,,,,,,,,N,,N,N,N,,,A(V),50,,,,34,341,,N,NPI,P,32-48-56.6505N,118136.6505N,087-51-47.4103W,316307.4103W,163,,,,,,,,,,,,N,,N,N,N,PLINE,M,A(V),34,26,1086,15L,,,,,,,,,FAA-EST IMAGERY,2010-11-29 00:00:00,FAA-EST IMAGERY,2010-11-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,2010-11-29 00:00:00,FAA-EST IMAGERY,2010-11-29 00:00:00,,,,,,,,,,,,,,,,,,,
00296.*A,AL,01/19,5005,150,ASPH-F,,,MED,01,5,,N,NPI,P,31-24-23.4809N,113063.4809N,087-02-51.9700W,313371.9700W,251.7,,,,,,,,,253.2,,,,,,,,,,A(NP),50,,,,19,185,,N,NPI,P,31-25-12.8189N,113112.8189N,087-02-46.5905W,313366.5905W,257.8,,,,,,,,,258.8,,,,,,,,,,A(NP),34,,,,ADO,2012-01-17 00:00:00,,,,,,,3RD PARTY SURVEY,2014-02-25 00:00:00,3RD PARTY SURVEY,2014-02-25 00:00:00,,,,,3RD PARTY SURVEY,2014-02-25 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2014-02-25 00:00:00,3RD PARTY SURVEY,2014-02-25 00:00:00,,,,,3RD PARTY SURVEY,2014-02-25 00:00:00,,,,,,,,,,,,,
00296.*A,AL,10/28,5004,150,ASPH-G,,,MED,10,100,,N,NPI,P,31-25-03.9046N,113103.9046N,087-02-51.3500W,313371.3500W,258.9,51,3,,,,,,,259,P4L,,,,,,,,,A(NP),50,,,,28,280,,N,NPI,P,31-24-55.7203N,113095.7203N,087-01-54.3997W,313314.3997W,248.8,,,,,,,,,248.9,,,,,,,,,,A(NP),50,,,,ADO,2013-03-25 00:00:00,30,50,,,,,3RD PARTY SURVEY,2014-02-25 00:00:00,3RD PARTY SURVEY,2014-02-25 00:00:00,,,,,3RD PARTY SURVEY,2014-02-25 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2014-02-25 00:00:00,3RD PARTY SURVEY,2014-02-25 00:00:00,,,,,3RD PARTY SURVEY,2014-02-25 00:00:00,,,,,,,,,,,,,
00300.3*A,AL,01/19,6604,100,ASPH-F,GRVD,,HIGH,01,9,,N,PIR,P,30-27-05.5892N,109625.5892N,087-52-43.4595W,316363.4595W,86.7,35,3,,,,,,,86.7,P4L,,,,Y,,,,,C,50,,,,19,189,,N,PIR,P,30-28-10.0819N,109690.0819N,087-52-31.1685W,316351.1685W,91.1,35,3,,,,,,,91.1,P4L,,,,Y,,,POLE,,C,36,24,1082,100L,3RD PARTY SURVEY,2007-12-15 00:00:00,36,58,,,,,3RD PARTY SURVEY,2007-12-15 00:00:00,3RD PARTY SURVEY,2007-12-15 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2007-12-15 00:00:00,3RD PARTY SURVEY,2007-12-15 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,
00302.*A,AL,01/19,5009,80,ASPH-G,,,MED,01,3,,N,NPI,G,33-42-08.0288N,121328.0288N,087-48-56.0930W,316136.0930W,330.9,45,3,,,,,,,345.9,P2L,,,,,,,TREES,,B(V),34,29,1210,184R,19,183,,N,NPI,G,33-42-57.5336N,121377.5336N,087-48-53.4094W,316133.4094W,357.4,45,3,,,,,,,357.4,P2L,,,,,,,TREES,,B(V),13,83,1299,178L,STATE,2017-12-10 00:00:00,15,,,,,,3RD PARTY SURVEY,2017-12-10 00:00:00,3RD PARTY SURVEY,2017-12-10 00:00:00,,,,,3RD PARTY SURVEY,2017-12-10 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2017-12-10 00:00:00,3RD PARTY SURVEY,2017-12-10 00:00:00,,,,,3RD PARTY SURVEY,2017-12-10 00:00:00,,,,,,,,,,,,,
00308.5*A,AL,04/22,3197,75,ASPH-G,,,MED,04,38,,,BSC,F,31-02-20.3700N,111740.3700N,086-18-52.8300W,310732.8300W,287.7,,,,,,,,,311.6,,,,,,,,TREES,,A(NP),21,49,1245,183L,22,218,,,BSC,F,31-02-45.4400N,111765.4400N,086-18-30.4100W,310710.4100W,314.3,,,,,,,,,314.3,,,,,,,,POLE,,A(V),20,39,993,192L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVN,2009-09-08 00:00:00,,,,,,,,,,,,,
00323.3*A,AL,18/36,3700,74,ASPH-G,,,MED,18,180,,Y,NPI,G,30-25-57.9463N,109557.9463N,087-42-03.4520W,315723.4520W,62.7,40,3,,,,,,,72.3,P2L,,,,,,,,,A(NP),50,,,,36,360,,N,NPI,G,30-25-21.3279N,109521.3279N,087-42-03.4813W,315723.4813W,74.3,38,3,30-25-23.1810N,109523.1810N,087-42-03.4791W,315723.4791W,72.6,187,72.6,P2L,,,,,,,ROAD,,A(NP),18,14,453,0B,3RD PARTY SURVEY,2014-12-02 00:00:00,28,,,,,,3RD PARTY SURVEY,2014-12-02 00:00:00,3RD PARTY SURVEY,2014-12-02 00:00:00,,,,,3RD PARTY SURVEY,2014-12-02 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2014-12-02 00:00:00,3RD PARTY SURVEY,2014-12-02 00:00:00,ARPTS CONTRACTOR,2015-01-20 00:00:00,3RD PARTY SURVEY,2014-12-02 00:00:00,3RD PARTY SURVEY,2014-12-02 00:00:00,,,,,,,,,,,,,
00326.*A,AL,15/33,3593,78,ASPH-P,,,MED,15,,,N,BSC,P,31-58-35.0400N,115115.0400N,086-35-41.6400W,311741.6400W,,,,,,,,,,,,,,,,,,TREE,,A(V),10,25,450,116L,33,,,N,BSC,P,31-58-04.1400N,115084.1400N,086-35-20.8200W,311720.8200W,,,,,,,,,,,,,,,,,,TREE,,A(V),2,10,228,10R,,,15,,,,,,OWNER,2001-01-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,OWNER,2001-01-03 00:00:00,,,,,,,,,,,,,,,,,,,,,
00328.1*A,AL,04/22,5001,100,ASPH-G,,,MED,04,39,,N,NPI,G,34-28-06.2520N,124086.2520N,085-43-36.0616W,308616.0616W,855.8,58,4,,,,,,,876.7,P4L,,,,Y,,,POLE,L,C,23,49,1353,6R,22,219,,N,NPI,G,34-28-44.3700N,124124.3700N,085-42-58.0137W,308578.0137W,873.1,38,3,,,,,,,876.7,P4R,,,,Y,,,POLE,,C,26,45,1403,103L,NACO,2002-08-07 00:00:00,16,,,,,,3RD PARTY SURVEY,2007-10-25 00:00:00,3RD PARTY SURVEY,2007-10-25 00:00:00,,,,,3RD PARTY SURVEY,2007-10-25 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2007-10-25 00:00:00,3RD PARTY SURVEY,2007-10-25 00:00:00,,,,,3RD PARTY SURVEY,2007-10-25 00:00:00,,,,,,,,,,,,,
00333.*A,AL,06/24,6802,150,ASPH-G,GRVD,,HIGH,06,61,,N,NPI,F,33-57-57.0188N,122277.0188N,086-06-03.8744W,309963.8744W,569.2,40,3,,,,,,,569.2,P4L,,,,Y,,,TREE,,C,21,45,1161,222R,24,241,ILS/DME,N,PIR,F,33-58-29.8968N,122309.8968N,086-04-53.4004W,309893.4004W,549.3,45,3,,,,,,,560.1,P4L,,,,Y,,,POLE,,C,50,,,4,3RD PARTY SURVEY,2005-09-27 00:00:00,90,115,195,,,,3RD PARTY SURVEY,2005-09-27 00:00:00,3RD PARTY SURVEY,2005-09-27 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2005-09-27 00:00:00,3RD PARTY SURVEY,2005-09-27 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,
00333.*A,AL,18/36,4806,100,ASPH-F,,,MED,18,180,,N,NPI,P,33-58-56.7370N,122336.7370N,086-05-09.3400W,309909.3400W,541.9,42,2.75,,,,,,,553.2,P2L,,,,,,,TREE,,C,25,18,660,13R,36,0,,N,NPI,P,33-58-09.2008N,122289.2008N,086-05-09.5939W,309909.5939W,553,40,2.75,,,,,,,554.9,P2L,,,,,,,TREE,,C,29,56,1865,119R,3RD PARTY SURVEY,2005-09-27 00:00:00,25,40,78,,,,3RD PARTY SURVEY,2005-09-27 00:00:00,3RD PARTY SURVEY,2005-09-27 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2005-09-27 00:00:00,3RD PARTY SURVEY,2005-09-27 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,
00344.1*A,AL,11/29,3998,100,ASPH-G,,,MED,11,107,,N,NPI,P,31-03-15.3500N,111795.3500N,085-52-30.1300W,309150.1300W,94.4,47,3.5,,,,,,,100.3,P4L,,,,,,,,,A(NP),34,,,,29,287,,N,NPI,P,31-03-03.5500N,111783.5500N,085-51-46.2600W,309106.2600W,95.8,47,3.5,,,,,,,100.3,P4L,,,,,,,POLE,,A(NP),30,35,1274,55R,ARPTS CONTRACTOR,2012-10-25 00:00:00,16,,,,,,ARPTS CONTRACTOR,2012-10-25 00:00:00,ARPTS CONTRACTOR,2012-10-25 00:00:00,,,,,FAA,2014-06-17 00:00:00,,,,,,,,,,,,,,,,ARPTS CONTRACTOR,2012-10-25 00:00:00,ARPTS CONTRACTOR,2012-10-25 00:00:00,,,,,FAA,2014-06-17 00:00:00,,,,,,,,,,,,,
00350.1*A,AL,18/36,3508,79,ASPH-F,,,MED,18,181,,N,BSC,G,32-41-10.8800N,117670.8800N,087-39-43.4300W,315583.4300W,174.9,,,,,,,,,174.9,,,,,,,,,,A(V),50,,,,36,1,,N,BSC,G,32-40-36.1700N,117636.1700N,087-39-43.5500W,315583.5500W,157.4,,,,,,,,,157.4,,,,,,,,,,A(V),28,69,2181,228L,FAA,,16,,,,,,,,,,,,,,AVN,2006-10-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,AVN,2006-10-26 00:00:00,,,,,,,,,,,,,
00353.1*A,AL,14/32,5501,80,ASPH-E,,,MED,14,140,,N,NPI,G,31-51-05.2431N,114665.2431N,086-36-59.2954W,311819.2954W,451.4,40,3,,,,,,,451.4,P2L,,,,Y,,,TREE,,C,17,135,2512,233R,32,320,,N,NPI,G,31-50-23.7452N,114623.7452N,086-36-18.0259W,311778.0259W,424.2,40,3,31-50-26.0031N,114626.0031N,086-36-20.2765W,311780.2765W,424.7,300,442.8,P2L,,,,Y,,,TREES,,C,23,34,1015,58L,3RD PARTY SURVEY,2007-07-10 00:00:00,15,,,,,,3RD PARTY SURVEY,2007-07-01 00:00:00,3RD PARTY SURVEY,2007-07-01 00:00:00,,,,,3RD PARTY SURVEY,2007-07-01 00:00:00,5200,5500,5200,5200,,,,,,,,,,,,3RD PARTY SURVEY,2007-07-01 00:00:00,3RD PARTY SURVEY,2007-07-01 00:00:00,3RD PARTY SURVEY,2007-07-01 00:00:00,3RD PARTY SURVEY,2007-07-01 00:00:00,3RD PARTY SURVEY,2007-07-01 00:00:00,5500,5500,5500,5200,,,,,,,,,
00358.*A,AL,13/31,2704,75,ASPH-P,,,,13,,,N,BSC,F,,,,,,,,,,,,,,,,,,,,,,TREES,,A(V),16,23,571,110R,31,,,N,BSC,F,,,,,,,,,,,,,75,,,,,,,,,TREES,,A(V),14,27,593,124R,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00359.7*A,AL,09/27,6962,100,ASPH-G,GRVD,,HIGH,09,90,,,NPI,F,30-17-25.0233N,109045.0233N,087-40-48.8781W,315648.8781W,15.6,50,3,30-17-25.0293N,109045.0293N,087-40-43.6060W,315643.6060W,15.3,462,15.7,P4L,,,,,,,,,C,50,,,,27,270,ILS/DME,,PIR,F,30-17-25.1538N,109045.1538N,087-39-29.4684W,315569.4684W,16.1,50,3,,,,,,,17.1,P4L,,,MALSR,,,,,,PIR,50,,,,NACO,2003-09-30 00:00:00,80,100,,,,,3RD PARTY SURVEY,2006-04-26 00:00:00,ADO,2003-09-02 00:00:00,3RD PARTY SURVEY,2006-04-26 00:00:00,3RD PARTY SURVEY,2006-04-26 00:00:00,AVN,2011-04-11 00:00:00,6962,6962,6962,6500,,,,,,,,,,,,3RD PARTY SURVEY,2006-04-26 00:00:00,ADO,2003-09-02 00:00:00,,,,,AVN,2011-04-11 00:00:00,6500,6500,6500,6500,,,,,,,,,
