Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 17 Enplanements,CY 16 Enplanements,% Change
424,CE,IA,BRL,Burlington,Southeast Iowa Regional,CS,None,7759,7086,0.095
425,GL,IL,UIN,Quincy,Quincy Regional-Baldwin Field,CS,None,7709,7847,-0.0176
426,CE,IA,MCW,Mason City,Mason City Municipal,CS,None,7502,7734,-0.03
427,AL,AK,SGY,Skagway,Skagway,CS,None,7380,8714,-0.1531
428,AL,AK,CDB,Cold Bay,Cold Bay,CS,None,7338,7403,-0.0088
431,NM,WA,ORS,Eastsound,Orcas Island,CS,None,7223,7826,-0.0771
432,CE,IA,FOD,Fort Dodge,Fort Dodge Regional,CS,None,7140,7271,-0.018
433,AL,AK,HNH,Hoonah,Hoonah,CS,None,6820,8809,-0.2258
434,WP,CA,CEC,Crescent City,Jack McNamara Field,CS,None,6802,8667,-0.2152
435,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,None,6799,6552,0.0377
436,NM,UT,VEL,Vernal,Vernal Regional,CS,None,6615,4007,0.6509
437,EA,VA,SHD,Weyers Cave,Shenandoah Valley Regional,CS,None,6605,5442,0.2137
438,NM,CO,ALS,Alamosa,San Luis Valley Regional/Bergman Field,CS,None,6494,3863,0.6811
439,SO,AL,MSL,Muscle Shoals,Northwest Alabama Regional,CS,None,6490,5295,0.2257
440,AL,AK,CXF,Coldfoot,Coldfoot,CS,None,6345,7203,-0.1191
441,CE,MO,CGI,Scott City,Cape Girardeau Regional,CS,None,6321,5532,0.1426
442,SO,PR,MAZ,Mayaguez,Eugenio Maria De Hostos,CS,None,6255,5344,0.1705
444,WP,CA,IPL,Imperial,Imperial County,CS,None,6136,4136,0.4836
445,AL,AK,AQH,Quinhagak,Quinhagak,CS,None,6101,7012,-0.1299
446,NE,MA,EWB,New Bedford,New Bedford Regional,CS,None,5998,7022,-0.1458
447,WP,CA,CRQ,Carlsbad,McClellan-Palomar,CS,None,5931,180,31.95
448,WP,AZ,PRC,Prescott,Ernest A Love Field,CS,None,5888,3451,0.7062
449,AL,AK,ILI,Iliamna,Iliamna,CS,None,5752,5835,-0.0142
450,GL,MN,TVF,Thief River Falls,Thief River Falls Regional,CS,None,5735,3524,0.6274
451,NM,OR,PDT,Pendleton,Eastern Oregon Regional at Pendleton,CS,None,5701,2582,1.208
452,EA,WV,MGW,Morgantown,Morgantown Municipal-Walter L Bill Hart Field,CS,None,5698,7851,-0.2742
453,SW,NM,SVC,Silver City,Grant County,CS,None,5686,5442,0.0448
455,SO,MS,GLH,Greenville,Greenville Mid-Delta,CS,None,5646,4986,0.1324
456,WP,HI,LUP,Kalaupapa,Kalaupapa,CS,None,5598,6119,-0.0851
457,CE,NE,CDR,Chadron,Chadron Municipal,CS,None,5532,4474,0.2365
