Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY2007 Enplanements,CY 2006 Enplanements,% Change
154.0,GL,IN,FWA,Fort Wayne,Fort Wayne International,P,N,289210.0,268122.0,0.0787
155.0,GL,WI,ATW,Appleton,Outagamie County Regional,P,N,288180.0,285123.0,0.0107
156.0,NM,MT,MSO,Missoula,Missoula International,P,N,285484.0,276170.0,0.0337
157.0,NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,282197.0,276866.0,0.0193
158.0,NM,WY,JAC,Jackson,Jackson Hole,P,N,278459.0,274031.0,0.0162
159.0,GL,IL,PIA,Peoria,Greater Peoria Regional,P,N,271366.0,240469.0,0.1285
160.0,SO,FL,EYW,Key West,Key West International,P,N,270781.0,294047.0,-0.0791
161.0,EA,WV,CRW,Charleston,Yeager,P,N,269726.0,284159.0,-0.0508
162.0,GL,IL,BMI,Bloomington/Normal,Central IL Regional Airport at Bloomington-Normal,P,N,262980.0,256708.0,0.0244
163.0,GL,MI,LAN,Lansing,Capital City,P,N,256563.0,286358.0,-0.104
164.0,NM,WA,PSC,Pasco,Tri-Cities,P,N,242788.0,226975.0,0.0697
165.0,NM,WA,BLI,Bellingham,Bellingham International,P,N,238452.0,135129.0,0.7646
166.0,GL,SD,RAP,Rapid City,Rapid City Regional,P,N,237692.0,226323.0,0.0502
167.0,NM,OR,RDM,Redmond,Roberts Field,P,N,236901.0,205930.0,0.1504
168.0,NM,CO,EGE,Eagle,Eagle County Regional,P,N,231719.0,217039.0,0.0676
169.0,GL,IN,EVV,Evansville,Evansville Regional,P,N,222654.0,234308.0,-0.0497
170.0,SW,LA,LFT,Lafayette,Lafayette Regional,P,N,219442.0,207103.0,0.0596
171.0,EA,PA,AVP,Wilkes-Barre/Scranton,Wilkes-Barre/Scranton International,P,N,219109.0,213233.0,0.0276
172.0,SW,TX,GRK,Killeen,Robert Gray AAF,P,N,216129.0,209236.0,0.0329
173.0,WP,CA,MRY,Monterey,Monterey Peninsula,P,N,215797.0,200091.0,0.0785
174.0,SO,TN,TRI,Bristol/Johnson/Kingsport,Tri-Cities Regional TN/VA,P,N,212809.0,211177.0,0.0077
175.0,NE,MA,HYA,Hyannis,Barnstable Municipal-Boardman/Polando Field,P,N,204152.0,206980.0,-0.0137
176.0,GL,MI,TVC,Traverse City,Cherry Capital,P,N,202048.0,208520.0,-0.031
177.0,SO,PR,BQN,Aguadilla,Rafael Hernandez,P,N,196018.0,174400.0,0.124
178.0,GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,188992.0,205637.0,-0.0809
179.0,NM,MT,GPI,Kalispell,Glacier Park International,P,N,187944.0,175157.0,0.073
180.0,EA,VA,CHO,Charlottesville,Charlottesville-Albemarle,P,N,187078.0,185891.0,0.0064
181.0,GL,MI,MBS,Saginaw,MBS International,P,N,186739.0,200150.0,-0.067
182.0,GL,ND,BIS,Bismarck,Bismarck Municipal,P,N,182918.0,181032.0,0.0104
183.0,SO,VI,STX,Christiansted,Henry E Rohlsen,P,N,182467.0,186891.0,-0.0237
184.0,NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,182268.0,201642.0,-0.0961
185.0,SO,AL,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,N,181231.0,188329.0,-0.0377
186.0,WP,CA,SBP,San Luis Obispo,San Luis County Regional,P,N,179784.0,174869.0,0.0281
187.0,SO,NC,FAY,Fayetteville,Fayetteville Regional/Grannis Field,P,N,175432.0,154966.0,0.1321
188.0,NM,CO,GJT,Grand Junction,Grand Junction Regional,P,N,170443.0,159509.0,0.0685
189.0,CE,NE,LNK,Lincoln,Lincoln,P,N,170105.0,190456.0,-0.1069
190.0,GL,MN,DLH,Duluth,Duluth International,P,N,169971.0,139480.0,0.2186
191.0,GL,OH,TOL,Toledo,Toledo Express,P,N,169679.0,194765.0,-0.1288
192.0,NM,ID,IDA,Idaho Falls,Idaho Falls Regional,P,N,166503.0,152146.0,0.0944
193.0,WP,CA,BFL,Bakersfield,Meadows Field,P,N,164400.0,171913.0,-0.0437
194.0,GL,MN,RST,Rochester,Rochester International,P,N,160452.0,149600.0,0.0725
195.0,SO,FL,PFN,Panama City,Panama City-Bay County International,P,N,159948.0,173211.0,-0.0766
196.0,GL,WI,CWA,Mosinee,Central Wisconsin,P,N,158747.0,161449.0,-0.0167
197.0,SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,154558.0,134716.0,0.1473
198.0,SW,LA,AEX,Alexandria,Alexandria International,P,N,145761.0,137283.0,0.0618
199.0,NM,MT,GTF,Great Falls,Great Falls International,P,N,145452.0,139362.0,0.0437
200.0,EA,PA,UNV,State College,University Park,P,N,144160.0,132543.0,0.0876
201.0,AL,AK,BET,Bethel,Bethel,P,N,143341.0,137521.0,0.0423
202.0,EA,PA,ERI,Erie,Erie International/Tom Ridge Field,P,N,142365.0,161087.0,-0.1162
203.0,SO,FL,GNV,Gainesville,Gainesville Regional,P,N,142068.0,153532.0,-0.0747
204.0,NM,CO,HDN,Hayden,Yampa Valley,P,N,139642.0,131448.0,0.0623
205.0,SO,FL,MLB,Melbourne,Melbourne International,P,N,137102.0,162079.0,-0.1541
206.0,WP,NV,61B,Boulder City,Boulder City Municipal,P,N,122049.0,52734.0,1.3144
207.0,GL,WI,LSE,La Crosse,La Crosse Municipal,P,N,121243.0,118647.0,0.0219
208.0,EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,120465.0,107314.0,0.1225
209.0,SO,PR,PSE,Ponce,Mercedita,P,N,118699.0,89908.0,0.3202
210.0,SO,NC,OAJ,Jacksonville,Albert J Ellis,P,N,116791.0,87512.0,0.3346
211.0,NM,CO,DRO,Durango,Durango-La Plata County,P,N,116310.0,113516.0,0.0246
212.0,SW,TX,LRD,Laredo,Laredo International,P,N,113974.0,97331.0,0.171
213.0,GL,IL,CMI,Savoy,University of Illinois-Willard,P,N,112440.0,117129.0,-0.04
214.0,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,111048.0,108102.0,0.0273
215.0,GL,IL,RFD,Rockford,Chicago/Rockford International,P,N,110835.0,89842.0,0.2337
216.0,WP,AZ,IFP,Bullhead City,Laughlin/Bullhead International,P,N,109366.0,89316.0,0.2245
217.0,SW,LA,MLU,Monroe,Monroe Regional,P,N,109011.0,111119.0,-0.019
218.0,WP,CA,ACV,Arcata/Eureka,Arcata,P,N,105969.0,103515.0,0.0237
219.0,WP,HI,MKK,Kaunakakai,Molokai,P,N,105953.0,76728.0,0.3809
220.0,SO,NC,EWN,New Bern,Craven County Regional,P,N,104105.0,85015.0,0.2245
221.0,EA,NY,ELM,Elmira/Corning,Elmira/Corning Regional,P,N,99211.0,83328.0,0.1906
222.0,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,97344.0,93795.0,0.0378
223.0,AL,AK,ENA,Kenai,Kenai Municipal,P,N,94720.0,93246.0,0.0158
224.0,NM,CO,MTJ,Montrose,Montrose Regional,P,N,92582.0,82316.0,0.1247
225.0,SW,TX,BRO,Brownsville,Brownsville/South Padre Island International,P,N,91258.0,90580.0,0.0075
226.0,SW,TX,CLL,College Station,Easterwood Field,P,N,90895.0,85754.0,0.06
227.0,SW,TX,ABI,Abilene,Abilene Regional,P,N,90369.0,90918.0,-0.006
228.0,WP,NV,VGT,Las Vegas,North Las Vegas,P,N,85900.0,209619.0,-0.5902
229.0,EA,NY,ITH,Ithaca,Ithaca Tompkins Regional,P,N,85665.0,77221.0,0.1093
230.0,SO,SC,HXD,Hilton Head Island,Hilton Head,P,N,84790.0,62115.0,0.365
231.0,NM,MT,HLN,Helena,Helena Regional,P,N,83402.0,87958.0,-0.0518
232.0,GL,ND,GFK,Grand Forks,Grand Forks International,P,N,82700.0,86353.0,-0.0423
233.0,AL,AK,ADQ,Kodiak,Kodiak,P,N,81713.0,77343.0,0.0565
234.0,SW,TX,TYR,Tyler,Tyler Pounds Regional,P,N,78482.0,79076.0,-0.0075
235.0,WP,AZ,NYL,Yuma,Yuma MCAS/Yuma International,P,N,77579.0,67684.0,0.1462
236.0,NM,WY,CPR,Casper,Natrona County International,P,N,76566.0,78665.0,-0.0267
237.0,SW,TX,ACT,Waco,Waco Regional,P,N,76410.0,74235.0,0.0293
238.0,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,74518.0,78918.0,-0.0558
240.0,NM,WA,YKM,Yakima,Yakima Air Terminal/McAllister Field,P,N,72016.0,57209.0,0.2588
242.0,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,N,71008.0,68236.0,0.0406
243.0,GL,ND,MOT,Minot,Minot International,P,N,70960.0,75013.0,-0.054
244.0,NM,ID,LWS,Lewiston,Lewiston-Nez Perce County,P,N,69726.0,66357.0,0.0508
245.0,GL,MI,SAW,Gwinn,Sawyer International,P,N,67999.0,68625.0,-0.0091
