Rank,Locid,Airport Name,City,ST,Region,Service   Level,Hub   Type,2001       Boardings
277.0,SGU,St George Municipal,St. George,UT,NM,P,N,43609.0
278.0,GTR,Golden Triangle Regional,Columbus,MS,SO,P,N,40836.0
279.0,SAF,Santa Fe Municipal,Santa Fe,NM,SW,P,N,40808.0
280.0,MKG,Muskegon County,Muskegon,MI,GL,P,N,39016.0
282.0,BRW,Wiley Post-Will Rogers Mem,Barrow,AK,AL,P,N,38068.0
283.0,IPT,Williamsport Regional,Williamsport,PA,EA,P,N,38050.0
284.0,DLG,Dillingham,Dillingham,AK,AL,P,N,37545.0
285.0,PSM,Pease International Tradeport,Portsmouth,NH,NE,P,N,37235.0
286.0,TNI,West Tinian,Tinian Island,MP,WP,P,N,36625.0
287.0,OXR,Oxnard,Oxnard,CA,WP,P,N,35534.0
288.0,SMX,Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria,CA,WP,P,N,35038.0
289.0,ABY,Southwest Georgia Regional,Albany,GA,SO,P,N,34648.0
290.0,PGV,Pitt-Greenville,Greenville,NC,SO,P,N,34556.0
291.0,RDG,Reading Regional/Carl A Spaatz Field,Reading,PA,EA,P,N,34017.0
292.0,GRO,Rota International,Rota Island,MP,WP,P,N,33923.0
293.0,TXK,Texarkana Regional-Webb Field,Texarkana,AR,SW,P,N,33134.0
294.0,HOM,Homer,Homer,AK,AL,P,N,32936.0
295.0,BQN,Rafael Hernandez,Aguadilla,PR,SO,P,N,32834.0
296.0,TWF,Joslin Field - Magic Valley Regional,Twin Falls,ID,NM,P,N,32326.0
297.0,DUT,Unalaska,Unalaska,AK,AL,P,N,31409.0
298.0,PAH,Barkley Regional,Paducah,KY,SO,P,N,31400.0
299.0,EFD,Ellington Field,Houston,TX,SW,P,N,30970.0
300.0,MAZ,Eugenio Maria De Hostos,Mayaguez,PR,SO,P,N,30820.0
301.0,JLN,Joplin Regional,Joplin,MO,CE,P,N,30637.0
302.0,MEI,Key Field,Meridian,MS,SO,P,N,30162.0
303.0,VLD,Valdosta Regional,Valdosta,GA,SO,P,N,29932.0
304.0,GGG,Gregg County,Longview,TX,SW,P,N,29766.0
305.0,FLG,Flagstaff Pulliam,Flagstaff,AZ,WP,P,N,29741.0
306.0,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,GL,P,N,29636.0
307.0,LMT,Klamath Falls International,Klamath Falls,OR,NM,P,N,29500.0
308.0,OAJ,Albert J Ellis,Jacksonville,NC,SO,P,N,29349.0
309.0,OTH,North Bend Municipal,North Bend,OR,NM,P,N,28995.0
310.0,HVN,Tweed-New Haven,New Haven,CT,NE,P,N,28766.0
311.0,ALW,Walla Walla Regional,Walla Walla,WA,NM,P,N,28542.0
312.0,PUW,Pullman/Moscow Regional,Pullman,WA,NM,P,N,28291.0
313.0,APF,Naples Municipal,Naples,FL,SO,P,N,28030.0
314.0,RHI,Rhinelander-Oneida County,Rhinelander,WI,GL,P,N,27548.0
315.0,BJI,Bemidji-Beltrami County,Bemidji,MN,GL,P,N,27190.0
317.0,MCN,Middle Georgia Regional,Macon,GA,SO,P,N,26433.0
318.0,CMX,Houghton County Memorial,Hancock,MI,GL,P,N,25922.0
319.0,CIC,Chico Municipal,Chico,CA,WP,P,N,25858.0
320.0,VQS,Antonio Rivera Rodriguez,Isla De Vieques,PR,SO,P,N,25323.0
321.0,MOD,Modesto City-Co-Harry Sham Field,Modesto,CA,WP,P,N,25235.0
322.0,BLV,Scott AFB/Midamerica,Belleville,IL,GL,P,N,24764.0
323.0,STS,Sonoma County,Santa Rosa,CA,WP,P,N,24629.0
324.0,COD,Yellowstone Regional,Cody,WY,NM,P,N,24522.0
325.0,COU,Columbia Regional,Columbia,MO,CE,P,N,24282.0
326.0,HGR,Hagerstown Regional-Richard A Henson Field,Hagerstown,MD,EA,P,N,23838.0
327.0,CLM,William R Fairchild International,Port Angeles,WA,NM,P,N,23547.0
328.0,ABR,Aberdeen Regional,Aberdeen,SD,GL,P,N,23144.0
329.0,LBE,Arnold Palmer Regional,Latrobe,PA,EA,P,N,22967.0
330.0,SCC,Deadhorse,Deadhorse,AK,AL,P,N,22817.0
331.0,YNG,Youngstown-Warren Regional,Youngstown/Warren,OH,GL,P,N,22190.0
332.0,STC,St Cloud Regional,St Cloud,MN,GL,P,N,22052.0
333.0,EWB,New Bedford Regional,New Bedford,MA,NE,P,N,21786.0
334.0,EAU,Chippewa Valley Regional,Eau Claire,WI,GL,P,N,21371.0
335.0,GYY,Gary/Chicago,Gary,IN,GL,P,N,21194.0
336.0,CYS,Cheyenne,Cheyenne,WY,NM,P,N,20909.0
337.0,VDZ,Valdez Pioneer Field,Valdez,AK,AL,P,N,20384.0
338.0,LHD,Lake Hood,Anchorage,AK,AL,P,N,20363.0
339.0,SCK,Stockton Metropolitan,Stockton,CA,WP,P,N,19651.0
340.0,INL,Falls International,International Falls,MN,GL,P,N,19312.0
341.0,CDV,Merle K (Mudhole) Smith,Cordova,AK,AL,P,N,19261.0
342.0,TEX,Telluride Regional,Telluride,CO,NM,P,N,19190.0
343.0,SHD,Shenandoah Valley Regional,Staunton/Waynesb/Harrisonb,VA,EA,P,N,19092.0
344.0,BRD,Brainerd Lakes Regional,Brainerd,MN,GL,P,N,18818.0
345.0,JST,John Murtha Johnstown-Cambria County,Johnstown,PA,EA,P,N,18711.0
346.0,BQK,Glynco Jetport,Brunswick,GA,SO,P,N,18652.0
348.0,PSG,Petersburg James A Johnson,Petersburg,AK,AL,P,N,18292.0
349.0,KDK,Kodiak Municipal,Kodiak,AK,AL,P,N,18285.0
350.0,PQI,Northern Maine Regional Airport at Presque Is,Presque Isle,ME,NE,P,N,17619.0
351.0,PKB,Wood County Airport Gill Robb Wilson Field,Parkersburg,WV,EA,P,N,17566.0
353.0,PIR,Pierre Regional,Pierre,SD,GL,P,N,17274.0
354.0,ANI,Aniak,Aniak,AK,AL,P,N,16963.0
355.0,CVX,Charlevoix Municipal,Charlevoix,MI,GL,P,N,16868.0
356.0,TUP,Tupelo Regional,Tupelo,MS,SO,P,N,16309.0
357.0,MGW,Morgantown Municipal-Walter L. Bill Hart Field,Morgantown,WV,EA,P,N,16233.0
359.0,CIU,Chippewa County International,Sault Ste Marie,MI,GL,P,N,15639.0
360.0,VCT,Victoria Regional,Victoria,TX,SW,P,N,15638.0
361.0,LNS,Lancaster,Lancaster,PA,EA,P,N,15433.0
