CY 02 Rank,RO,State,Locid,Airport Name,City,Svc Lvl,Hub,CY 2002 Boardings,CY 2001 Boardings,% Change
1160.0,AL,AK,CZN,Chisana,Chisana,GA,None,34.0,62.0,-0.4516
1161.0,EA,MD,GAI,Montgomery County Airpark,Gaithersburg,GA,None,34.0,6.0,4.6667
1159.0,GL,WI,ARV,"Lakeland / 
Noble F. Lee Memorial Field",Minocqua - Woodruff,GA,None,34.0,54.0,-0.3704
1162.0,NM,WA,WN07,Decatur Shores,Decatur,GA,None,34.0,0.0,0.0
1164.0,EA,NJ,BLM,Monmouth Executive,Belmar,GA,None,33.0,11.0,2.0
1163.0,GL,IN,ASW,Warsaw Municipal,Warsaw,GA,None,33.0,6.0,4.5
1165.0,GL,MI,CAD,Wexford County,Cadillac,GA,None,33.0,291.0,-0.8866
1166.0,NM,OR,RBG,Roseburg Regional,Roseburg,GA,None,33.0,150.0,-0.78
1168.0,NM,UT,U55,Panguitch Municipal,Panguitch,GA,None,33.0,6.0,4.5
1167.0,SW,TX,T82,Gillespie County,Fredericksburg,GA,None,33.0,60.0,-0.45
1169.0,AL,AK,7KA,Tatitlek,Tatitlek,GA,None,32.0,26.0,0.2308
1170.0,EA,PA,BTP,Butler County / K W Scholter Field,Butler,GA,None,32.0,477.0,-0.9329
1173.0,EA,VA,OKV,Winchester Regional,Winchester,GA,None,32.0,4.0,7.0
1171.0,SW,TX,COT,Cotulla - La Salle County,Cotulla,GA,None,32.0,0.0,0.0
1172.0,WP,CA,LHM,Lincoln Regional / Karl Harder Field,Lincoln,GA,None,32.0,36.0,-0.1111
1174.0,WP,CA,STS,Sonoma County,Santa Rosa,GA,None,32.0,24629.0,-0.9987
1176.0,EA,VA,HEF,"Manassas Regional / 
Harry P. Davis Field",Manassas,GA,None,31.0,14.0,1.2143
1178.0,GL,IL,MDH,Southern Illinois,"Carbondale / 
Murphysboro",GA,None,31.0,140.0,-0.7786
1175.0,NM,WY,DGW,Converse County,Douglas,GA,None,31.0,42.0,-0.2619
1179.0,SW,TX,T23,Albany Municipal,Albany,GA,None,31.0,0.0,0.0
1177.0,WP,CA,IZA,Santa Ynez,Santa Ynez,GA,None,31.0,13.0,1.3846
1182.0,CE,MO,HAE,Hannibal Municipal,Hannibal,GA,None,30.0,32.0,-0.0625
1184.0,CE,IA,IKV,Ankeny Regional,Ankeny,GA,None,30.0,6.0,4.0
1183.0,EA,WV,HLG,Wheeling Ohio County,Wheeling,GA,None,30.0,33.0,-0.0909
1186.0,EA,VA,OFP,Hanover County Municipal,Ashland,GA,None,30.0,32.0,-0.0625
1180.0,GL,WI,31WI,McDermott Air Park,Sullivan,GA,None,30.0,0.0,0.0
