Rank,FAA Region,ST,Locid,City,Airport Name,Arpt Category,Hub,CY 12 Enplanements,CY 11 Enplanements,% Change
771,SO,SC,MMT,Eastover,Mc Entire Jngb,GA,None,386,0,0
799,SO,SC,GYH,Greenville,Donaldson Center,GA,None,290,1,289
864,SO,SC,JZI,Charleston,Charleston Executive,GA,None,135,18,6.5
925,SO,SC,AIK,Aiken,Aiken Municipal,GA,None,78,56,0.3929
1047,SO,SC,RBW,Walterboro,Lowcountry Regional,GA,None,28,1,27
1106,SO,SC,CEU,Seneca,Oconee County Regional,GA,None,20,0,0
1128,SO,SC,SPA,Spartanburg,Spartanburg Downtown Memorial,GA,None,19,4,3.75
1166,SO,SC,CKI,Kingstree,Williamsburg Regional,GA,None,15,0,0
1202,SO,SC,GMU,Greenville,Greenville Downtown,GA,None,12,10,0.2
1254,SO,SC,CRE,North Myrtle Beach,Grand Strand,GA,None,9,5,0.8
1438,SO,SC,UZA,Rock Hill,Rock Hill/York County/Bryant Field,GA,None,4,0,0
1510,SO,SC,BBP,Bennettsville,Marlboro County Jetport - H.E. Avent Field,GA,None,2,0,0
1598,SO,SC,CUB,Columbia,Jim Hamilton L.B. Owens,GA,None,1,0,0
1607,SO,SC,GGE,Georgetown,Georgetown County,GA,None,1,0,0
120,GL,SD,FSD,Sioux Falls,Joe Foss Field,P,S,453007,423288,0.0702
165,GL,SD,RAP,Rapid City,Rapid City Regional,P,N,252592,254292,-0.0067
322,GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,24822,24503,0.013
388,GL,SD,PIR,Pierre,Pierre Regional,P,N,11685,14802,-0.2106
452,GL,SD,ATY,Watertown,Watertown Regional,CS,None,6254,8984,-0.3039
618,GL,SD,HON,Huron,Huron Regional,GA,None,1650,1681,-0.0184
800,GL,SD,RCA,Rapid City,Ellsworth AFB,GA,None,288,904,-0.6814
837,GL,SD,SUO,Rosebud,Rosebud Sioux Tribal,GA,None,215,0,0
908,GL,SD,9V9,Chamberlain,Chamberlain Municipal,GA,None,96,6,15
939,GL,SD,ICR,Winner,Winner Regional,GA,None,70,0,0
949,GL,SD,IEN,Pine Ridge,Pine Ridge,GA,None,66,0,0
988,GL,SD,SPF,Spearfish,Black Hills-Clyde Ice Field,GA,None,45,13,2.4615
1001,GL,SD,YKN,Yankton,Chan Gurney Municipal,GA,None,41,4,9.25
1199,GL,SD,1D7,Webster,The Sigurd Anderson,GA,None,12,0,0
1210,GL,SD,9V6,Martin,Martin Municipal,GA,None,11,0,0
1221,GL,SD,AGZ,Wagner,Wagner Municipal,GA,None,10,0,0
1241,GL,SD,SD25,Ipswich,Rappe Field,GA,None,10,0,0
1406,GL,SD,BTN,Britton,Britton Municipal,GA,None,4,0,0
1582,GL,SD,VMR,Vermillion,Harold Davidson Field,GA,None,2,0,0
35,SO,TN,BNA,Nashville,Nashville International,P,M,4797102,4673047,0.0265
50,SO,TN,MEM,Memphis,Memphis International,P,M,3359668,4344213,-0.2266
94,SO,TN,TYS,Alcoa,McGhee Tyson,P,S,846278,841237,0.006
150,SO,TN,CHA,Chattanooga,Lovell Field,P,N,313861,304399,0.0311
178,SO,TN,TRI,Bristol/Johnson/Kingsport,Tri-Cities Regional TN/VA,P,N,206904,220586,-0.062
591,SO,TN,MKL,Jackson,McKellar-Sipes Regional,GA,None,2037,484,3.2087
704,SO,TN,MQY,Smyrna,Smyrna,GA,None,705,1557,-0.5472
811,SO,TN,CKV,Clarksville,Outlaw Field,GA,None,257,1088,-0.7638
862,SO,TN,NQA,Millington,Millington Regional Jetport,GA,None,140,0,0
914,SO,TN,SRB,Sparta,Upper Cumberland Regional,GA,None,87,0,0
961,SO,TN,JWN,Nashville,John C Tune,GA,None,58,1,57
1082,SO,TN,UCY,Union City,Everett-Stewart Regional,GA,None,24,0,0
1124,SO,TN,HDI,Cleveland,Hardwick Field,GA,None,19,13,0.4615
1328,SO,TN,GKT,Sevierville,Gatlinburg-Pigeon Forge,GA,None,6,0,0
1334,SO,TN,M33,Gallatin,Sumner County Regional,GA,None,6,0,0
1475,SO,TN,PVE,Darden,Beech River Regional,GA,None,3,0,0
4,SW,TX,DFW,Fort Worth,Dallas/Fort Worth International,P,L,28022904,27518358,0.0183
11,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,19039000,19306660,-0.0139
32,SW,TX,HOU,Houston,William P Hobby,P,M,5043737,4753554,0.061
36,SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,4606252,4436661,0.0382
44,SW,TX,SAT,San Antonio,San Antonio International,P,M,4036625,3992304,0.0111
45,SW,TX,DAL,Dallas,Dallas Love Field,P,M,3902628,3852886,0.0129
73,SW,TX,ELP,El Paso,El Paso International,P,S,1442102,1458965,-0.0116
116,SW,TX,MAF,Midland,Midland International,P,S,497193,474423,0.048
119,SW,TX,LBB,Lubbock,Lubbock Preston Smith International,P,S,475767,503580,-0.0552
133,SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,S,389284,392815,-0.009
134,SW,TX,HRL,Harlingen,Valley International,P,S,375472,359166,0.0454
145,SW,TX,MFE,McAllen,McAllen Miller International,P,N,327615,332706,-0.0153
149,SW,TX,CRP,Corpus Christi,Corpus Christi International,P,N,313969,322903,-0.0277
189,SW,TX,GRK,Killeen,Robert Gray AAF,P,N,183501,219753,-0.165
221,SW,TX,LRD,Laredo,Laredo International,P,N,102247,101780,0.0046
233,SW,TX,BRO,Brownsville,Brownsville/South Padre Island International,P,N,86090,85244,0.0099
