Rank,ST,Locid,City,Airport Name,Service Level,Hub Type,CY 2004 Boardings,CY 2003 Boardings,% Change
695.0,AS,Z08,Ofu Village,Ofu,GA,None,920.0,1682.0,-0.453
7.0,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,19336099.0,18252853.0,0.0593
67.0,AZ,TUS,Tucson,Tucson International,P,M,1863790.0,1699762.0,0.0965
137.0,AZ,GCN,Grand Canyon,Grand Canyon National Park,P,S,368330.0,325815.0,0.1305
214.0,AZ,IFP,Bullhead City,Laughlin/Bullhead International,P,N,95489.0,85661.0,0.1147
244.0,AZ,YUM,Yuma,Yuma MCAS/Yuma International,P,N,63426.0,58916.0,0.0765
260.0,AZ,1G4,Peach Springs,Grand Canyon West,P,N,49010.0,33067.0,0.4821
286.0,AZ,FLG,Flagstaff,Flagstaff Pulliam,P,N,38872.0,34635.0,0.1223
323.0,AZ,PGA,Page,Page Municipal,P,N,22321.0,14929.0,0.4951
408.0,AZ,HII,Lake Havasu City,Lake Havasu City,CS,None,9432.0,8543.0,0.1041
434.0,AZ,PRC,Prescott,Ernest A. Love Field,CS,None,7014.0,4786.0,0.4655
469.0,AZ,SOW,Show Low,Show Low Regional,CS,None,4895.0,3968.0,0.2336
530.0,AZ,IWA,Mesa,Williams Gateway,GA,None,2891.0,218.0,12.2615
540.0,AZ,SDL,Scottsdale,Scottsdale,GA,None,2778.0,3159.0,-0.1206
561.0,AZ,IGM,Kingman,Kingman,GA,None,2473.0,2504.0,-0.0124
690.0,AZ,0V7,Kayenta,Kayenta,GA,None,961.0,1265.0,-0.2403
750.0,AZ,E91,Chinle,Chinle Municipal,GA,None,519.0,1309.0,-0.6035
784.0,AZ,3AZ5,Peach Springs,Hualapai,GA,None,357.0,340.0,0.05
800.0,AZ,DMA,Tucson,Davis Monthan AFB,GA,None,313.0,640.0,-0.5109
885.0,AZ,GEU,Glendale,Glendale Municipal,GA,None,166.0,0.0,0.0
932.0,AZ,PAN,Payson,Payson,GA,None,106.0,242.0,-0.562
